condition,order,gender,age_md,orientation 1,orientation 2,F1,F2,F3,F4,F5,Display,new-goal ,old-goal 
two-object,new-goal first,M,"3,12",60,36.8,6.5,60,6.9,60,35.9,60,60,13.1
two-object,new-goal first,M,"2,26",60,60,60,60,35.1,8.5,7.6,6.5,60,18.4
two-object,new-goal first,M,"3,14",4.6,15.5,8,51.9,10.8,60,7.5,25.5,46.3,15.1
two-object,new-goal first,F,"4,8",60,60,52.4,28.1,16.8,8,8,18.1,13.6,7.1
two-object,new-goal first,F,"3,16",18.8,19.8,16.4,35.6,25.6,18.8,5.2,6.8,12,5.8
two-object,new-goal first,F,"2,19",60,60,50.1,39.9,31.6,27.5,34.2,31.7,60,9
two-object,old-goal first,M,"4,8",56,14.2,19.4,14.2,14.1,4.7,4.2,6.7,8,18.9
two-object,old-goal first,M,"3,7",3.7,60,31.7,44.1,10.2,5,5.6,6.1,21,6
two-object,old-goal first,M,"3,15",60,60,38.3,14.4,17.2,60,33.2,36.8,60,31
two-object,old-goal first,F,"3,18",7.8,53.1,23.8,60,60,9.2,7.9,13.6,42.7,42.9
two-object,old-goal first,F,"2,23",60,23.6,4.1,33.5,10.6,11.1,6.2,7.4,7.2,23.6
two-object,old-goal first,F,"3,12",60,60,45.9,37.9,26.1,7.1,11.1,22.5,6.5,5.7
one-object,new-goal first,M,"3,5",17.5,60,16.5,17.5,28.3,8.8,43.9,39.4,6.9,43.5
one-object,new-goal first,M,"3,5",8.9,49.4,5.3,4.6,5.8,6.3,6.3,60,60,34.2
one-object,new-goal first,M,"2,20",24.7,6.5,4,3.4,2.9,2,2.7,18.8,6.4,5.7
one-object,new-goal first,F,"2,16",21.6,20.7,2.7,8.9,3,2.7,2.7,6,6.5,8.4
one-object,new-goal first,F,"3,3",55.2,31.6,12,47.5,60,44.1,42,60,40.6,60
one-object,new-goal first,F,"3,5",4.6,5.6,20.5,23.1,13.8,18.4,2.3,20.9,5.3,10.1
one-object,old-goal first,M,"3,28",57.8,44.9,21.3,21.3,30.1,2.4,17.4,20.8,14.9,8.3
one-object,old-goal first,M,"3,27",21,28.9,16.8,14,3.1,6.1,12.9,11.4,5.1,11.1
one-object,old-goal first,M,"4,3",51.2,11.9,60,60,27.9,36.5,18.2,16.7,10.7,40.3
one-object,old-goal first,F,"2,27",14.8,46.5,36.8,39.1,13,11.7,2.7,60,49.6,60
one-object,old-goal first,F,"2,28",60,56.2,18,23.2,4.2,12.2,8.9,6.8,60,31.7
one-object,old-goal first,F,"2,24",42.9,31.1,6.1,8.5,2.5,25.1,11,9.7,6.8,60
different-positions,new-goal first,M,"2,25",60,31.8,21.4,13.5,7.2,60,26.9,60,60,11.1
different-positions,new-goal first,M,"3,17",60,45.4,10.9,44.1,29.5,24.8,35.2,15.2,10.2,5.4
different-positions,new-goal first,M,"3,27",34.2,60,37.8,60,60,17,20,13.4,25,14.2
different-positions,new-goal first,F,"2,21",60,57.1,37.4,26,3.9,32.3,8.1,32,36.5,23.8
different-positions,new-goal first,F,"2,29",19.5,36.7,3.8,60,60,60,60,17.6,60,16.2
different-positions,new-goal first,F,"2,28",60,40.2,33.1,21.6,60,17.7,6.6,11.6,53.5,24.8
different-positions,old-goal first,M,"2,27",6.8,3.4,3.1,3.4,25.2,7,8.9,25,52.9,20.2
different-positions,old-goal first,M,"3,0",60,60,16.9,8.4,12.7,9.1,6.1,5.8,60,35.6
different-positions,old-goal first,M,"2,28",59.6,18.6,60,60,11.6,10.5,14.4,10.5,8,20.2
different-positions,old-goal first,F,"3,7",49,7.9,5.4,2.1,30,31.2,53.3,40.7,9.5,26.7
different-positions,old-goal first,F,"3,1",60,60,60,18.3,30.2,60,40.5,10.3,30,40.7
different-positions,old-goal first,F,"2,24",14.9,28.4,5.5,2.2,2.9,3,14.6,60,60,46.2